==79771== NVPROF is profiling process 79771, command: ./sciara_cuda ./data/2006/2006_000000000000.cfg ./data/2006/output_2006 16000 1000 1.0
==79771== Profiling application: ./sciara_cuda ./data/2006/2006_000000000000.cfg ./data/2006/output_2006 16000 1000 1.0
==79771== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,s,,us,us,us,
"GPU activities",37.738290,3.045121,128014,23.787000,2.688000,44.512000,"[CUDA memcpy DtoD]"
"GPU activities",27.115344,2.187950,16000,136.746000,129.153000,150.337000,"massBalance_Global(double*, double*, double*, double*, double*)"
"GPU activities",23.316917,1.881454,16000,117.590000,30.305000,275.649000,"computeOutflows_Global(double*, double*, double*, double*)"
"GPU activities",11.824788,0.954148,16000,59.634000,56.960000,73.377000,"computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)"
"GPU activities",0.004159,0.000336,32,10.486000,3.968000,17.856000,"reduceKernel(double const *, double*, int)"
"GPU activities",0.000398,0.000032,16,2.006000,1.888000,2.560000,"[CUDA memcpy DtoH]"
"GPU activities",0.000105,0.000008,6,1.413000,1.312000,1.824000,"[CUDA memcpy HtoD]"

==79771== Unified Memory profiling result:
"Device","Count","Avg Size","Min Size","Max Size","Total Size","Total Time",""
"NVIDIA GeForce GTX 980 (0)",32004,4.101562KB,4.000000KB,1.492188MB,128.199219MB,0.000000,"Host To Device"
"NVIDIA GeForce GTX 980 (0)",528198,21.346680KB,4.000000KB,508.000000KB,10.753006GB,0.000005,"Device To Host"
Total CPU Page faults: 176083
