==80337== NVPROF is profiling process 80337, command: ./sciara_cuda_tiled ./data/2006/2006_000000000000.cfg ./data/2006/output_2006 10 10 1.0
==80337== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==80337== Profiling application: ./sciara_cuda_tiled ./data/2006/2006_000000000000.cfg ./data/2006/output_2006 10 10 1.0
==80337== Profiling result:
==80337== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"NVIDIA GeForce GTX 980 (0)","massBalance_Tiled(double*, double*, double*, double*, double*)",10,"flop_count_dp","Floating Point Operations(Double Precision)",9543733,9544162,9543947
"NVIDIA GeForce GTX 980 (0)","massBalance_Tiled(double*, double*, double*, double*, double*)",10,"flop_count_sp","Floating Point Operations(Single Precision)",10,88,49
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Tiled(double*, double*, double*, double*)",10,"flop_count_dp","Floating Point Operations(Double Precision)",834,15205,7958
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Tiled(double*, double*, double*, double*)",10,"flop_count_sp","Floating Point Operations(Single Precision)",48,854,443
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",10,"flop_count_dp","Floating Point Operations(Double Precision)",745,6556,3650
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",10,"flop_count_sp","Floating Point Operations(Single Precision)",20,176,98
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"flop_count_dp","Floating Point Operations(Double Precision)",510,244322,122416
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"flop_count_sp","Floating Point Operations(Single Precision)",0,0,0
